epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.2898,52.39,1.1264,59.04,42.84,0.002008086307747404
2,1.1453,59.72,1.0666,60.35,48.07,0.001971262855565916
3,1.1188,60.27,1.0528,61.82,48.13,0.0019108987307892
4,1.0585,63.43,1.0184,64.37,53.7,0.0018284802985063038
5,1.0417,64.38,1.0184,67.85,53.43,0.0017260369740511265
6,1.0315,64.72,1.0003,66.83,53.76,0.001606091252061656
7,1.0163,65.38,1.0107,64.52,50.45,0.0014715965942903018
8,1.0097,65.67,0.9929,69.93,55.97,0.0013258647055735726
9,1.0023,65.64,0.9963,70.65,55.84,0.0011724839886680838
10,0.9954,65.85,0.979,63.48,54.39,0.0010152311858654631
11,0.99,66.05,0.9811,68.42,56.49,0.0008579783830628427
12,0.9776,66.6,0.9884,67.04,55.21,0.0007045976661573536
13,0.9742,66.62,0.974,70.03,56.62,0.0005588657774406243
14,0.9643,67.0,0.9683,65.55,55.53,0.00042437111966927004
15,0.958,67.06,0.9687,67.54,55.0,0.00030442539767979945
16,0.9511,67.08,0.9662,69.15,56.48,0.00020198207322462208
17,0.9447,67.52,0.9643,68.23,55.79,0.00011956364094172571
18,0.9416,67.42,0.9672,68.21,56.49,5.919951616500978e-05
