epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.2992,52.4,1.1655,59.33,43.1
2,1.1734,57.5,1.0987,61.45,46.31
3,1.1218,59.79,1.0634,65.56,47.99
4,1.0887,60.55,1.0417,65.88,49.62
5,1.0685,61.28,1.0328,64.19,49.36
6,1.0544,61.74,1.0392,64.85,51.38
7,1.0414,62.16,1.0263,67.5,51.89
8,1.032,62.31,1.0204,64.65,47.17
9,1.0225,62.79,1.03,62.26,45.91
10,1.0168,62.8,1.0062,66.34,50.95
