epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.5885,64.01,1.5816,65.61,15.85
2,1.5757,65.59,1.5671,65.6,16.0
3,1.558,64.78,1.543,63.83,22.95
4,1.4494,63.23,1.3041,63.74,27.32
5,1.3067,62.92,1.2549,65.05,29.21
6,1.2793,62.32,1.2389,65.54,30.92
7,1.2702,61.61,1.2314,64.44,35.23
8,1.2695,61.2,1.2546,56.36,33.57
9,1.2675,60.98,1.222,64.92,34.52
10,1.2642,60.59,1.2252,63.97,38.09
