epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.1084,58.91,0.9964,60.57,49.0
2,0.9208,66.08,0.9956,65.32,51.74
3,0.8054,69.1,1.0484,62.51,50.45
4,0.6732,72.77,1.2108,63.82,49.35
5,0.5314,76.35,1.3628,63.48,47.56
6,0.4121,79.38,1.7072,61.03,46.43
7,0.3334,81.5,1.9423,65.67,46.88
8,0.2786,83.25,2.2244,64.21,45.76
9,0.2403,84.64,2.4243,63.81,46.11
10,0.2164,85.8,2.5724,62.36,45.92
