epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.3102,49.85,1.1899,58.61,42.75
2,1.1775,56.49,1.091,61.97,46.44
3,1.1171,59.39,1.0609,59.88,48.05
4,1.085,60.31,1.0406,60.57,47.56
5,1.0686,60.86,1.0407,68.79,49.69
6,1.0532,61.61,1.0248,61.16,48.07
7,1.0442,61.85,1.0206,63.9,50.14
8,1.0356,61.99,1.0132,64.95,50.73
9,1.0245,62.56,1.0109,64.9,48.98
10,1.0157,62.73,1.0042,65.85,50.72
