epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.2882,51.7,1.1362,62.01,41.83
2,1.1553,57.27,1.0731,60.48,44.17
3,1.1139,58.8,1.0503,63.65,48.07
4,1.0954,59.52,1.0391,64.22,49.98
5,1.0853,60.09,1.0522,66.22,52.25
6,1.0729,60.47,1.0222,64.7,49.95
7,1.0665,60.68,1.0283,65.96,47.97
8,1.0589,60.81,1.0255,65.24,51.27
9,1.0427,61.34,1.0107,65.86,50.34
10,1.0395,61.61,1.0075,64.71,50.88
