epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.2915,53.36,1.1501,64.53,42.94
2,1.1566,58.15,1.0795,63.1,47.42
3,1.1006,60.69,1.054,62.54,50.18
4,1.0716,61.35,1.0323,65.54,50.3
5,1.0562,61.64,1.0208,66.68,50.3
6,1.0426,62.15,1.0347,65.23,47.49
7,1.03,62.63,1.0106,65.28,50.61
8,1.0203,62.9,1.0224,67.59,52.1
9,1.0132,63.04,1.0146,61.47,50.08
10,1.0069,63.04,1.0037,66.61,51.75
