epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.2851,53.53,1.1494,65.02,43.87
2,1.143,59.08,1.0867,58.78,44.52
3,1.0991,60.29,1.0537,63.1,46.38
4,1.0706,61.1,1.0344,66.36,49.91
5,1.0531,61.63,1.0246,60.75,48.98
6,1.0379,62.33,1.0329,63.11,47.79
7,1.0287,62.55,1.0176,64.66,47.83
8,1.0163,62.82,1.0372,65.25,51.93
9,1.0076,63.28,1.0081,67.33,50.9
10,0.9979,63.49,0.9986,61.95,50.29
